ensembles,reinfo_th,pred_term,width,rates,MDD,product
10P_30C_40C_,0.3,20,20,1.0341452810970142,0.7844078509493445,0.7520803287514296
10HL_30C_40HL_,0.27,5,70,1.3923326471398465,0.8033532889774113,1.313810284109956
30HL_5C_5P_,0.05,10,40,1.1186837224764599,0.7904799272009727,0.9171580427622152
20C_40HL_5HL_,0.1,40,10,2.0995728994354543,0.3151652956928636,1.8488350075065176
20C_20HL_5C_,0.25,30,40,1.3709477888844708,0.5468852684150025,0.8758509845137524
15C_15P_5C_,0.07,15,50,1.0921940445809335,0.5558835497871093,0.8041850444373106
15HL_40P_5HL_,0.27,15,30,1.1879000504164383,0.577846933248219,0.7376488936973291
15P_40HL_40P_,0.1,40,10,1.8213734023963075,0.3562896523982735,1.4553815840369182
10P_30HL_40P_,0.09,35,50,1.2098506769016737,0.4923827612268413,1.028544456305047
10HL_20C_40C_,0.12,35,60,1.2053558675663898,0.5846486525147686,0.7926372149914129
10C_10HL_20P_,0.29,20,70,0.7722366382733323,0.753020529244407,0.2537638715656628
10HL_30P_40HL_,0.19,15,60,1.3401611696643476,0.5003459279891487,0.7532965223032388
10C_20C_40P_,0.27,20,20,1.3679054049414647,0.606188943563228,0.9957337018568706
15P_25P_40HL_,0.0,35,10,0.9000219365578821,0.4239062376132501,0.5854100152861197
10HL_40C_40HL_,0.23,30,10,1.5811033533777328,0.4525767281441247,1.2119260750002183
10P_25HL_5P_,0.23,15,10,1.603478818731385,0.5014003346584689,1.072474277395111
10P_20P_40HL_,0.26,15,30,0.8340767529563888,0.6491498825020989,0.5182806134567705
20P_25C_25P_,0.17,25,60,2.085743116773287,0.3546745041588649,2.0014116961097863
10P_20C_30HL_,0.08,35,20,2.17722403710191,0.331647100233176,2.0890227721627777
30C_30HL_40P_,0.24,15,20,0.6104976569892421,0.9007527190827808,0.5114811417215867
15HL_20HL_5C_,0.16,40,10,1.802262667782403,0.30365366793903176,1.6383284451832056
10HL_15C_25HL_,0.08,25,20,2.031135608210306,0.37454287062633396,1.7823740875255274
10P_15HL_5HL_,0.22,10,20,1.4038342673461552,0.7158103031165598,1.0109862622028043
15C_40P_5C_,0.32,5,10,2.9272837341573217,0.3138786069681092,4.824365186556951
15HL_20C_30C_,0.26,25,30,1.6713351894364483,0.4104878581295537,1.2031391085837604
10C_30HL_40HL_,0.1,40,70,1.1647018418280335,0.5794306508672016,0.8621128884166266
15C_15P_5C_,0.15,40,50,2.1663665067911597,0.2540416374087865,2.2039959100949886
10C_25C_25P_,0.2,15,50,1.8376982317039143,0.3805786917664093,1.5615653562371672
25HL_30C_5HL_,0.28,35,30,1.0237067377357203,0.7336832106185766,0.6337470391503661
10P_20HL_25P_,0.31,5,10,1.4620474854283465,0.7879929741379587,1.1365375107134008
25C_5C_5HL_,0.13,10,10,2.372700493878755,0.25674407902673785,2.9461474031502908
10C_40HL_40P_,0.07,20,10,2.330192062938216,0.2960237374458499,2.3127920980656484
25P_40P_5C_,0.01,25,60,1.1353906376819018,0.4425785949504114,0.7506569232708563
10HL_15P_20C_,0.24,35,40,1.3121333122512526,0.5879571516508052,0.8327877536023428
10P_15P_20C_,0.31,25,10,1.3078782617841944,0.6036297674000163,0.942166346583474
10HL_25P_30C_,0.19,30,70,2.027910560796137,0.3649740203652087,1.9021657939513397
20C_25P_40C_,0.24,15,10,1.1175110527736742,0.7353722306157797,0.7234328824061397
10C_20HL_30HL_,0.05,15,30,2.1551357729596567,0.3778144490631011,2.1519348807976457
10P_20C_5C_,0.23,30,40,1.3943079832928018,0.5953203940976437,1.0517106442670208
30HL_5C_5HL_,0.19,20,10,2.5731153563496343,0.2532052689189635,3.4589048200941717
10HL_40P_5HL_,0.06,10,20,1.4354190203917008,0.4399624374270576,1.0840577035878989
20HL_25HL_5C_,0.29,40,10,1.770530388904212,0.4711579953707014,1.5598747027952429
10C_25P_30C_,0.28,35,30,1.4514310071554193,0.6254020818154041,0.9788422540335984
10HL_20C_30C_,0.16,25,30,1.8320910091441736,0.4494077561634068,1.6593125866617884
20C_25C_30P_,0.19,5,60,1.6515702546919608,0.23659344299067026,1.3403405958365946
20HL_25C_30C_,0.07,5,60,1.8410451374935557,0.2941689064999368,1.7738315450121018
15HL_25P_30P_,0.16,30,10,1.708165482486513,0.3961853169782191,1.3806190861498735
15HL_25HL_5HL_,0.27,30,10,1.8210323191183448,0.3592805181215745,1.5451028800173463
15C_25HL_5HL_,0.04,15,50,0.9255160567361329,0.5421226821895916,0.6655523048394204
10HL_15C_20HL_,0.29,25,50,1.8191114397739447,0.3077504011623359,1.4299771363029925
10HL_20C_30C_,0.02,30,40,1.7417060957671804,0.4181882131966184,1.4480495403064395
10HL_15P_20HL_,0.0,25,50,0.23669074849961125,0.9314881523840738,0.2285853919562879
15HL_40C_40HL_,0.22,40,40,1.5954680380095465,0.4468525054784935,1.2420470613201344
10HL_40P_5P_,0.04,10,60,1.4261431801836708,0.3187722884961549,1.08080864246593
10C_15C_30C_,0.12,25,10,2.3983277452139284,0.4084494601965131,2.5888127719523846
25HL_25P_5HL_,0.28,25,30,1.5434282809605049,0.7551193313581442,1.1694362849470503
10C_10HL_25HL_,0.19,10,10,1.674192441129959,0.4054833686866709,1.157378806689064
25P_30P_5P_,0.18,35,60,1.4442559013643153,0.4344605862458008,0.9034335901499274
10HL_25P_40C_,0.24,15,20,1.0671146138491094,0.7039689074965774,0.6838366246976776
15P_40P_5HL_,0.11,35,20,1.657056925108175,0.4687233811111886,1.3104393196537372
10HL_15C_30HL_,0.3,20,20,1.6183354825521623,0.33415831341211905,1.4253452722906546
10P_15P_40P_,0.26,25,10,0.8317004427921171,0.6995192704231116,0.5436901723106468
30C_5C_5P_,0.28,20,30,1.1696493388961808,0.6599652023086974,0.6969227843665091
10C_20HL_40HL_,0.31,30,10,1.3288551185005164,0.5441179309432123,1.0635887797235404
10C_10HL_15C_,0.29,20,10,1.6636510973168568,0.479047439305008,1.3596661869028568
20HL_40HL_5P_,0.23,30,20,2.28566477219724,0.533306213470387,2.4249372840501637
20C_25C_5HL_,0.1,10,30,2.439975343197029,0.2571591572227281,2.435623669929388
15C_15HL_20P_,0.29,10,60,1.2717677547692352,0.6416829131812355,0.8470759086799572
15P_20P_40HL_,0.18,15,70,1.0294991447942408,0.7173465299427841,0.6557942672575201
15C_15HL_30C_,0.15,25,30,1.4473024391248075,0.5703491531463767,0.9041855792371092
10HL_30P_40P_,0.31,15,60,1.054990835381131,0.7224872667107406,0.7977800891905863
10HL_20P_30P_,0.0,35,10,0.2287302707688865,1.0662566006041927,0.3507096613847201
15P_30C_40HL_,0.29,5,70,2.0839697632615275,0.4268217976160015,2.293040926809115
10C_40P_5C_,0.15,30,20,1.1889038765817432,0.49497854105042616,0.7590809848929749
10HL_20C_30HL_,0.21,20,10,1.9702091243787208,0.45733604274061357,1.8208499242983285
15C_20P_40C_,0.11,30,50,1.0883621087561854,0.4507438731352776,0.7838873268651887
15HL_20C_20HL_,0.13,20,70,2.1582221116066327,0.3501232538909295,2.291072854674347
10C_15C_40HL_,0.05,30,60,0.8305813024732547,0.6623889549383994,0.6222989202326338
25P_30C_40HL_,0.09,10,40,1.5487933542476238,0.4035495316137845,1.3946817642432556
10C_25HL_25P_,0.19,25,10,1.5764198327175003,0.40041728449747743,0.9740743771810166
20P_25P_30C_,0.18,15,60,1.6378475569223065,0.412303436002078,1.48438349849943
10P_40C_5P_,0.14,10,30,0.874506511737073,0.7648350072480139,0.6188193128905835
10P_20C_20P_,0.24,40,60,0.6733158911934907,0.8633100250501634,0.4910535756931045
25C_40P_5P_,0.27,10,30,0.9791714528554244,0.6673475768455129,0.7033991275153504
30HL_40C_5P_,0.3,35,30,0.5847553396845853,1.0133068085427264,0.3972733546274365
10C_25HL_30P_,0.02,25,40,1.7658123575967832,0.35959090806079763,1.180087826015649
15P_20C_25P_,0.01,30,10,2.056886755642724,0.35758351878134836,1.8771079635264838
20HL_40P_5P_,0.11,25,70,1.1109959859698209,0.5822926820885533,0.7525943267201441
25C_30HL_30P_,0.23,30,20,1.3786123528369145,0.5501272979331774,0.9590952983422525
30P_40C_40P_,0.3,10,30,1.1239676134500136,0.5323230614029235,0.7322553724444593
15C_20P_5C_,0.22,30,50,1.1910930167747142,0.4719244310458571,0.784609760618313
10HL_20HL_25P_,0.23,20,40,1.0891311005475608,0.5935075947127185,0.7411028806429572
15P_25C_40C_,0.14,40,20,1.8249990711391604,0.437544585103688,1.4103805772280347
10C_20C_40P_,0.21,30,10,2.280782051169827,0.46141445312876556,2.336293537066653
15HL_25P_40P_,0.04,20,60,2.070470653208976,0.26265546006172785,2.0570370403757163
10P_20P_25HL_,0.01,15,70,1.1642074722346891,0.39844221214367725,0.8260591469667677
15P_25P_40HL_,0.15,15,20,1.2773705492028113,0.595286745636393,0.8583128880154874
20P_30C_5C_,0.3,15,30,0.8090969485328121,0.7189152929896773,0.5343047252538842
20HL_25C_5HL_,0.08,15,50,2.556093521691518,0.39779887315540585,2.627925300139044
15C_30HL_30P_,0.28,15,10,2.433545246779362,0.34072087899246206,2.9753214321324597
